year,state_po,pres_is_dem,pres_share,dem_share,is_midterm_x,simulated,pres_share_lag4,swing,dem_v,rep_v,is_midterm_y,gas_1m_nat,gas_3m_nat,gas_6m_nat,gas_yoy_nat,gas_W_nat,gas_up_nat,gas_down_nat,gas_W_padd1,gas_3m_padd1,gas_6m_padd1,gas_W_padd2,gas_3m_padd2,gas_6m_padd2,gas_W_padd3,gas_3m_padd3,gas_6m_padd3,gas_W_padd4,gas_3m_padd4,gas_6m_padd4,gas_W_padd5,gas_3m_padd5,gas_6m_padd5,spr_drawdown_3m_mb,spr_big_release,car,commute_min,rural,vehicles_hh,gas_exposure_idx,padd,unemp_rate,income_growth,gas_W_padd,gas_3m_padd,gas_6m_padd,gasW_nat_x_exp,gas3m_nat_x_exp,gasyoy_x_exp,gasup_x_exp,gasdown_x_exp,gasW_padd_x_exp,gas3m_padd_x_exp,gas6m_padd_x_exp
1974,AK,0,0.4883147932455592,0.5116852067544408,1,1,,,,,1,0.5812676538956378,0.5777368757803456,0.572881530682638,0.4916312445677211,0.5757845545801038,0.1915817606746958,0.0,,,,,,,,,,,,,,,,,,0.779,18.4,0.341,1.8,-1.7446732296493337,5,6.863648103478699,-0.3026579643109696,,,,-1.0045558984214729,-1.0079620609552116,-0.8577358712564874,-0.33424756913822723,-0.0,,,
1978,AK,1,0.41076627341451255,0.41076627341451255,1,1,0.4883147932455592,-0.07754851983104666,,,1,0.8693031056797943,0.8494588212214288,0.8379354040210495,0.10386909062851513,0.844906233086199,0.08179749196174457,0.0,,,,,,,,,,,,,,,,-7.048838340271487,0.0,0.779,18.4,0.341,1.8,-1.7446732296493337,5,6.444973939978803,5.725610827148238,,,,-1.4740852864293517,-1.4820280650745061,-0.18121762180759082,-0.1427098944781123,-0.0,,,
1982,AK,0,0.5243654915326027,0.4756345084673973,1,1,0.41076627341451255,0.11359921811809015,,,1,1.2264370400705893,1.2630051426220712,1.258107679548761,-0.09526084504710253,1.2556295072510915,0.0,-0.1291327209556592,,,,,,,,,,,,,,,,62.13425872740373,1.0,0.779,18.4,0.341,1.8,-1.7446732296493337,5,10.854468431181427,-0.833513644704347,,,,-2.190663187658763,-2.2035312612421665,0.1661990461874531,-0.0,0.22529440132311612,,,
1986,AK,0,0.5328999610699666,0.4671000389300334,1,1,0.5243654915326027,0.00853446953736392,,,1,1.0112896670181926,0.996666882063704,0.9683070161787384,0.010827095919767826,0.9813733653455925,0.01083205057687242,0.0,,,,,,,,,,,,,,,,-4.119999999999948,0.0,0.779,18.4,0.341,1.8,-1.7446732296493337,5,4.820853388191558,2.2771389477896764,,,,-1.7121758388093304,-1.738858028014614,-0.018889744406064456,-0.018898388663676935,-0.0,,,
1990,AK,0,0.5546998607151751,0.4453001392848249,1,1,0.5328999610699666,0.021799899645208454,,,1,1.3392499999999998,1.2745613503088766,1.1781809175954556,0.22711545236517905,1.2240565473093878,0.24786939891744542,0.0,,,,,,,,,,,,,,,,-2.687999999999988,0.0,0.779,18.4,0.341,1.8,-1.7446732296493337,5,4.117783020137924,-1.1772315948839305,,,,-2.1355786896676823,-2.2236930674296036,-0.39624224978122635,-0.43245110474053855,-0.0,,,
1974,AL,0,0.5643780455959807,0.4356219544040193,1,1,,,,,1,0.5812676538956378,0.5777368757803456,0.572881530682638,0.4916312445677211,0.5757845545801038,0.1915817606746958,0.0,,,,,,,,,,,,,,,,,,0.923,24.3,0.411,2.1,1.6058211472723944,3,5.551567494610607,-3.2505214056508986,,,,0.9246070140175469,0.9277420926871635,0.7894718491866931,0.3076460427231053,0.0,,,
1978,AL,1,0.3882950455087023,0.3882950455087023,1,1,0.5643780455959807,-0.1760830000872784,,,1,0.8693031056797943,0.8494588212214288,0.8379354040210495,0.10386909062851513,0.844906233086199,0.08179749196174457,0.0,,,,,,,,,,,,,,,,-7.048838340271487,0.0,0.923,24.3,0.411,2.1,1.6058211472723944,3,5.751700098844227,4.009536000669038,,,,1.3567682965520773,1.3640789388544505,0.16679518227922246,0.13135214238601314,0.0,,,
1982,AL,0,0.5738228841477834,0.4261771158522166,1,1,0.3882950455087023,0.18552783863908107,,,1,1.2264370400705893,1.2630051426220712,1.258107679548761,-0.09526084504710253,1.2556295072510915,0.0,-0.1291327209556592,,,,,,,,,,,,,,,,62.13425872740373,1.0,0.923,24.3,0.411,2.1,1.6058211472723944,3,9.360127126710822,-2.7258157360247637,,,,2.016316415883019,2.0281603671363087,-0.15297187948367597,0.0,-0.20736405411542264,,,
1986,AL,0,0.5707143447551006,0.42928565524489937,1,1,0.5738228841477834,-0.003108539392682741,,,1,1.0112896670181926,0.996666882063704,0.9683070161787384,0.010827095919767826,0.9813733653455925,0.01083205057687242,0.0,,,,,,,,,,,,,,,,-4.119999999999948,0.0,0.923,24.3,0.411,2.1,1.6058211472723944,3,7.437373895070937,2.8396946812115527,,,,1.5759101034418301,1.6004687560039375,0.01738637959150983,0.017394335884665872,0.0,,,
1990,AL,0,0.6149131488138998,0.3850868511861002,1,1,0.5707143447551006,0.04419880405879917,,,1,1.3392499999999998,1.2745613503088766,1.1781809175954556,0.22711545236517905,1.2240565473093878,0.24786939891744542,0.0,,,,,,,,,,,,,,,,-2.687999999999988,0.0,0.923,24.3,0.411,2.1,1.6058211472723944,3,7.311178312743119,0.9375964784810525,,,,1.965615889126647,2.0467175698220523,0.3647067962803407,0.398033922543331,0.0,,,
1974,AR,0,0.498880620630124,0.501119379369876,1,1,,,,,1,0.5812676538956378,0.5777368757803456,0.572881530682638,0.4916312445677211,0.5757845545801038,0.1915817606746958,0.0,,,,,,,,,,,,,,,,,,0.912,22.2,0.432,2.1,1.296569526891484,3,5.140243492940359,-1.9567511537899875,,,,0.7465447075233491,0.7490760276982869,0.6374340901742417,0.24839907279902784,0.0,,,
